Merkmal;Einheit;20201;20162;20133;20101
Landwirtschaftliche Betriebe insgesamt;Betriebe in 1 000;262,8;275,4;285;299,1
Landwirtschaftlich genutzte Fläche (LF) insgesamt;1 000 ha;16 595,0;16 658,9;16 699,6;16 704,0
und zwar;;;;;
Betriebe mit Ackerland;Betriebe in 1 000;193,6;205,8;218;229,3
Ackerland;1 000 ha;11 663,8;11 763,0;11 875,9;11 846,7
Betriebe mit Dauergrünland;Betriebe in 1 000;219,9;226,3;229,9;239,4
Dauergrünland;1 000 ha;4 730,3;4 694,5;4 621,0;4 654,7
Betriebe mit Dauerkulturen;Betriebe in 1 000;28,1;30,5;32,8;37,8
Dauerkulturen;1 000 ha;198,2;199,7;199,8;198,8
Betriebe mit Viehhaltung;Betriebe in 1 000;168,8;184,7;199,2;216,1
und zwar;;;;;
Betriebe mit Rindern;Betriebe in 1 000;108;121;130,4;144,9
Rinder;1 000;11 274,5;12 354,0;12 370,7;12 534,5
Betriebe mit Schweinen;Betriebe in 1 000;31,9;40,3;49,1;60,1
Schweine;1 000;26 300,0;27 977,5;28 697,4;27 571,4
Betriebe mit Schafen;Betriebe in 1 000;19,9;19,6;20;22,3
Schafe;1 000;1 809,3;1 834,3;1 893,3;2 088,5
Betriebe mit Ziegen;Betriebe in 1 000;10,5;9,8;10,8;11,2
Ziegen;1 000;154,9;138,8;130,2;149,9
Betriebe mit Geflügel4;Betriebe in 1 000;51,1;49;58,7;60,5
Geflügel;1 000;173 148,2;173 573,9;177 333,1;128 899,8
Betriebe mit Einhufern;Betriebe in 1 000;41,4;42,1;46,3;49
Einhufer;1 000;453,7;442;461,3;461,8
Betriebe mit ökologischem Landbau;Betriebe in 1 000;26,1;19,9;18;16,5
Ökologisch bewirtschaftete Fläche;1 000 ha;1 637,5;1 135,5;1 009,0;941,5
Betriebe mit ökologischer Tierhaltung;Betriebe in 1 000;17,3;13,9;13,3;12,3
Einzelunternehmen;1 000;228,3;244,2;256;273
Personengesellschaften;1 000;28,6;25,7;23,7;21
Juristische Personen;1 000;5,9;5,5;5,3;5,1
Landwirtschaftliche Arbeitskräfte5;1 000;937,9;940,1;1 020,5;1 080,3
davon;;;;;
Familienarbeitskräfte5;1 000;434,4;449,1;505,6;556,3
Saisonarbeitskräfte5;1 000;274,7;286,3;314,3;330,5
Ständig Beschäftigte5;1 000;228,9;204,6;200,7;193,4
Pachtfläche insgesamt6 7;1 000 ha;15 433,4;9 781,8;10 017,9;10 042,2
darunter gepachtete LF von Betrieben mit Angabe des Pachtentgeltes6 7;1 000 ha;14 210,5;8 700,8;8 852,7;8 813,2
Pachtentgelt je Hektar6 7;€;;289;243;204
Standardoutput insgesamt;Mio. €;46 503,06;49 008,26;46 205,34;41 096,97
Standardoutput je Betrieb;€;176 968;177 958;162 105;137 38
